City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
431,dakhla,23.6848,-15.958,63.75200000000008,75,1,5.23,EH,1703634142
432,puerto colombia,10.9878,-74.9547,80.43800000000005,87,14,9.7,CO,1703634142
433,rahuri,19.3833,74.65,65.01200000000006,47,2,1.3,IN,1703634143
434,kilju,40.9642,129.3278,21.56000000000008,76,66,1.49,KP,1703634143
435,da lat,11.9465,108.4419,58.13600000000007,92,64,1.6,VN,1703634144
436,djamaa,33.5339,5.9931,55.52600000000009,41,84,1.19,DZ,1703634145
437,daru,-9.0763,143.2092,81.95,76,100,3.07,PG,1703634145
438,n'dalatando,-9.2978,14.9116,67.82000000000006,100,100,1.01,AO,1703634146
439,kiunga,-6.1219,141.2906,83.73200000000001,72,97,1.3,PG,1703634147
440,mulayjah,27.271,48.4242,62.564000000000036,45,4,3.01,SA,1703634148
441,carnarvon,-24.8667,113.6333,74.516,58,13,7.17,AU,1703634148
442,el-tor,28.2364,33.6254,65.28200000000001,56,0,5.74,EG,1703634149
443,pindushi,62.9152,34.58,13.946000000000048,98,100,0.57,RU,1703634150
444,nguigmi,14.2495,13.1092,59.81000000000008,26,0,5.33,NE,1703634150
445,keila,59.3036,24.4131,35.041999999999994,58,97,3.02,EE,1703634151
446,el granada,37.5027,-122.4694,60.242,78,20,2.06,US,1703634152
447,vikhorevka,56.1201,101.1636,-1.533999999999942,100,72,0.3,RU,1703634154
448,mana,5.6592,-53.7767,79.10600000000002,88,86,3.9,GF,1703634155
449,road town,18.4167,-64.6167,78.83600000000007,73,20,2.57,VG,1703634155
450,noumea,-22.2763,166.4572,94.98200000000001,95,33,3.47,NC,1703634156
451,ketchikan,55.3422,-131.6461,42.78200000000002,87,75,0.0,US,1703634156
452,minas de marcona,-15.2119,-75.1103,63.320000000000064,81,78,4.64,PE,1703634157
453,saudarkrokur,65.7461,-19.6394,32.18000000000004,93,100,2.59,IS,1703634157
454,anchorage,61.2181,-149.9003,10.65200000000008,84,75,4.02,US,1703634029
455,manta,-0.95,-80.7333,76.17200000000004,84,97,6.34,EC,1703634158
456,masjed soleyman,31.9364,49.3039,59.12600000000009,46,0,0.94,IR,1703634159
457,richards bay,-28.783,32.0377,65.642,81,100,3.28,ZA,1703634159
458,tofol,5.3248,163.0078,85.78399999999999,79,75,4.12,FM,1703634159
459,bamboo flat,11.7,92.7167,80.34800000000003,72,58,5.59,IN,1703634160
460,tindouf,27.6711,-8.1474,50.45,22,0,2.06,DZ,1703634160
461,brookings,44.3114,-96.7984,29.10200000000008,94,100,3.09,US,1703634162
462,chato,-2.6378,31.7669,70.79000000000002,82,100,1.24,TZ,1703634163
463,fort wellington,6.4,-57.6,79.16000000000008,82,50,4.28,GY,1703634165
464,enewetak,11.3474,162.3373,81.19400000000007,83,9,8.89,MH,1703634166
465,burang,30.25,81.1667,22.67600000000009,42,0,0.51,CN,1703634166
466,greenville,35.6127,-77.3663,62.15,88,40,2.57,US,1703633910
467,am timan,11.0297,20.2827,73.32800000000006,22,35,2.98,TD,1703634167
468,tshabong,-26.05,22.45,72.10400000000006,68,68,7.81,BW,1703634168
469,sovetskaya gavan',48.9723,140.2878,4.100000000000001,68,61,5.17,RU,1703634168
470,mushabani,22.5167,86.45,61.05200000000008,64,0,1.09,IN,1703634169
471,valparaiso,-33.0393,-71.6273,64.04000000000002,77,75,4.63,CL,1703634113
472,faaborg,55.0951,10.2423,41.0,82,7,9.15,DK,1703634170
473,tambura,5.6,27.4667,72.842,27,82,2.18,SS,1703634170
474,umluj,25.0213,37.2685,73.058,60,0,1.98,SA,1703634172
475,conception bay south,47.4999,-52.9981,38.912000000000056,91,100,8.32,CA,1703634172
476,aquin,18.2833,-73.4,77.63000000000004,79,44,1.07,HT,1703634172
477,cabo san lucas,22.8909,-109.9124,77.61200000000005,49,0,4.63,MX,1703634151
478,ghanzi,-21.5667,21.7833,76.13600000000007,62,11,4.14,BW,1703634174
479,sao jose da coroa grande,-8.8978,-35.1478,79.57400000000001,83,65,3.79,BR,1703634175
480,box elder,41.5005,-112.8764,25.25,82,100,0.28,US,1703634175
481,jayapura,-2.5333,140.7,78.18800000000005,96,100,1.94,ID,1703633630
482,filadelfia,39.9523,-75.1638,48.16400000000003,89,75,2.57,US,1703634083
483,kristiansund,63.1115,7.732,33.854000000000056,56,99,10.5,NO,1703634179
